"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"28976","JJ515948","12/09/2025 12:51:00 AM","018XX S RIDGEWAY AVE","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","false","false","1014","010","24","29","01A","1151663","1890655","2025","12/17/2025 03:42:27 PM","41.855833804","-87.718806798","(41.855833804, -87.718806798)"
"28975","JJ514795","12/08/2025 03:07:00 AM","096XX S AVENUE N","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","true","true","0432","004","10","52","01A","1201126","1841841","2025","12/16/2025 03:44:01 PM","41.720771071","-87.538912339","(41.720771071, -87.538912339)"
"28974","JJ512708","12/06/2025 12:20:00 AM","038XX W ADAMS ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1122","011","28","26","01A","1150810","1898737","2025","12/14/2025 03:41:44 PM","41.878028456","-87.721726402","(41.878028456, -87.721726402)"
"28972","JJ507309","12/01/2025 06:23:00 AM","109XX S STATE ST","0110","HOMICIDE","FIRST DEGREE MURDER","PORCH","false","false","0513","005","9","49","01A","1178200","1832239","2025","12/09/2025 03:42:11 PM","41.694971728","-87.623174183","(41.694971728, -87.623174183)"
"28971","JJ507076","11/30/2025 08:03:00 PM","008XX S CLAREMONT AVE","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","false","false","1225","012","28","28","01A","1160851","1896196","2025","12/08/2025 03:43:10 PM","41.870853451","-87.684928629","(41.870853451, -87.684928629)"
"28970","JJ506963","11/30/2025 05:28:00 PM","041XX S WABASH AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0213","002","3","38","01A","1177404","1877523","2025","12/08/2025 03:43:10 PM","41.819254199","-87.624722906","(41.819254199, -87.624722906)"
"28973","JJ502593","11/28/2025 03:15:00 PM","077XX S CARPENTER ST","0110","HOMICIDE","FIRST DEGREE MURDER","HOUSE","false","true","0612","006","17","71","01A","1170655","1853505","2025","12/06/2025 03:41:51 PM","41.753496107","-87.650180812","(41.753496107, -87.650180812)"
"28969","JJ504503","11/28/2025 12:24:00 AM","051XX S LUNA AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","0814","008","23","56","01A","1140228","1870089","2025","02/22/2026 03:41:00 PM","41.799614449","-87.761282055","(41.799614449, -87.761282055)"
"28967","JJ503782","11/27/2025 03:05:00 AM","012XX W 111TH PL","0110","HOMICIDE","FIRST DEGREE MURDER","HOUSE","true","true","2234","022","21","75","01A","1170048","1830842","2025","04/06/2026 03:42:39 PM","41.691318699","-87.653061527","(41.691318699, -87.653061527)"
"28968","JJ502745","11/26/2025 06:32:00 AM","068XX S CALUMET AVE","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","true","0322","003","6","69","01A","1179659","1859729","2025","12/04/2025 03:42:09 PM","41.770374503","-87.616994694","(41.770374503, -87.616994694)"
"28966","JJ500111","11/23/2025 09:52:00 PM","012XX S INDEPENDENCE BLVD","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1011","010","24","29","01A","1151445","1894282","2025","12/01/2025 03:42:34 PM","41.865790996","-87.719511791","(41.865790996, -87.719511791)"
"28965","JJ499338","11/23/2025 07:53:00 AM","002XX S WABASH AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","0113","001","34","32","01A","1176847","1899303","2025","12/01/2025 03:42:34 PM","41.87903266","-87.626108184","(41.87903266, -87.626108184)"
"29031","JJ448432","11/22/2025 10:09:00 AM","030XX W ARTHINGTON ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1134","011","28","27","01A","1156310","1895884","2025","02/05/2026 03:40:58 PM","41.870090208","-87.701608713","(41.870090208, -87.701608713)"
"29120","D262438","11/22/2025 04:24:00 AM","004XX W 64TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0722","007","20","68","01A","1174286","1862483","2025","04/29/2026 03:46:36 PM","41.778052905","-87.636608058","(41.778052905, -87.636608058)"
"28964","JJ498109","11/22/2025 02:11:00 AM","008XX N WALLER AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1511","015","29","25","01A","1138208","1904983","2025","11/30/2025 03:43:03 PM","41.89540539","-87.767847446","(41.89540539, -87.767847446)"
"28962","JJ498040","11/22/2025 12:19:00 AM","000XX W 111TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","GAS STATION","false","false","0513","005","9","49","01A","1178040","1831365","2025","11/30/2025 03:43:03 PM","41.692576964","-87.623786349","(41.692576964, -87.623786349)"
"28963","JJ498045","11/21/2025 10:59:00 PM","001XX S DEARBORN ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0112","001","34","32","01A","1175959","1899607","2025","11/29/2025 03:42:11 PM","41.879886887","-87.629359567","(41.879886887, -87.629359567)"
"28961","JJ497610","11/21/2025 04:49:00 PM","006XX W DIVISION ST","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","1822","018","27","8","01A","1171555","1908243","2025","11/29/2025 03:42:11 PM","41.903682596","-87.645276055","(41.903682596, -87.645276055)"
"28960","JJ496890","11/21/2025 04:21:00 AM","045XX W FIFTH AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","1131","011","24","26","01A","1146311","1895563","2025","12/18/2025 03:41:16 PM","41.869405406","-87.738326608","(41.869405406, -87.738326608)"
"28957","JJ491049","11/16/2025 08:43:00 AM","001XX N ELIZABETH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1224","012","27","28","01A","1167913","1901457","2025","11/24/2025 03:41:59 PM","41.885140728","-87.658849841","(41.885140728, -87.658849841)"
"28956","JJ490283","11/15/2025 03:37:00 PM","092XX S LA SALLE ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0634","006","9","49","01A","1176901","1843756","2025","11/23/2025 03:42:58 PM","41.726605262","-87.627584587","(41.726605262, -87.627584587)"
"28955","JJ490161","11/15/2025 11:50:00 AM","005XX N CENTRAL AVE","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","false","false","1523","015","37","25","01A","1138938","1903072","2025","11/23/2025 03:42:58 PM","41.890148134","-87.765212765","(41.890148134, -87.765212765)"
"28954","JJ489740","11/15/2025 02:44:00 AM","015XX N HONORE ST","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","false","false","1424","014","1","24","01A","1163780","1910430","2025","11/23/2025 03:42:58 PM","41.909851453","-87.673773564","(41.909851453, -87.673773564)"
"28953","JJ488379","11/14/2025 01:25:00 AM","076XX S SANGAMON ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0621","006","17","71","01A","1171299","1854186","2025","11/22/2025 03:43:00 PM","41.755350802","-87.647800904","(41.755350802, -87.647800904)"
"28952","JJ487001","11/12/2025 07:44:00 PM","076XX S STONY ISLAND AVE","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","true","false","0411","004","8","43","01A","1188243","1854803","2025","01/07/2026 03:43:04 PM","41.756656628","-87.585686572","(41.756656628, -87.585686572)"
"28951","JJ474883","11/11/2025 01:18:00 AM","030XX S TRUMBULL AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1032","010","22","30","01A","1153851","1884130","2025","11/19/2025 03:43:46 PM","41.837885173","-87.710949285","(41.837885173, -87.710949285)"
"28947","JJ484853","11/11/2025 12:15:00 AM","005XX N CENTRAL AVE","0110","HOMICIDE","FIRST DEGREE MURDER","YARD","false","false","1523","015","37","25","01A","1138937","1903092","2025","11/19/2025 03:43:46 PM","41.890203035","-87.765215951","(41.890203035, -87.765215951)"
"28946","JJ482411","11/08/2025 06:39:00 PM","038XX W 26TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","1013","010","22","30","01A","1150978","1886444","2025","02/27/2026 03:40:48 PM","41.844291726","-87.721431241","(41.844291726, -87.721431241)"
"28945","JJ482411","11/08/2025 06:17:00 PM","038XX W 26TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","1013","010","22","30","01A","1150978","1886444","2025","02/27/2026 03:40:48 PM","41.844291726","-87.721431241","(41.844291726, -87.721431241)"
"28948","JJ439777","11/08/2025 08:51:00 AM","034XX W OGDEN AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1024","010","24","29","01A","1153548","1890574","2025","11/16/2025 03:41:53 PM","41.855574302","-87.71189003","(41.855574302, -87.71189003)"
"28944","JJ481507","11/07/2025 10:42:00 PM","088XX S LOWE AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","2223","022","21","71","01A","1173520","1846227","2025","11/15/2025 03:41:24 PM","41.733461423","-87.639896583","(41.733461423, -87.639896583)"
"28943","JJ481493","11/07/2025 10:10:00 PM","009XX W 63RD PKWY","0110","HOMICIDE","FIRST DEGREE MURDER","AUTO","false","false","0712","007","16","68","01A","1171301","1863652","2025","11/15/2025 03:41:24 PM","41.781326622","-87.647516964","(41.781326622, -87.647516964)"
